GENENAME	TISSUE	MAXIMUM FPKM	AVERAGE FPKM	MINIMUMFPKM
B2M	Pituitary gland	203.241669	203.241669	203.241669
CALM	Pituitary gland	99.23156	99.23156	99.23156
CALM1	Pituitary gland	126.631065	126.631065	126.631065
CHAMP1	Pituitary gland	49.749489	49.749489	49.749489
CHMP2A	Pituitary gland	30.64743	27.560888	24.474346
CKM	Pituitary gland	3020.815918	3020.815918	3020.815918
CKMT2	Pituitary gland	337.676605	337.676605	337.676605
FAM100A	Pituitary gland	45.378033	45.378033	45.378033
FAM103A1	Pituitary gland	18.60866	18.60866	18.60866
FAM174A	Pituitary gland	16.581516	16.581516	16.581516
FAM195B	Pituitary gland	39.222054	39.222054	39.222054
FAM46C	Pituitary gland	41.670547	41.670547	41.670547
FEM1A	Pituitary gland	44.620285	44.620285	44.620285
GIMAP1	Pituitary gland	2.458315	2.458315	2.458315
HEXIM1	Pituitary gland	228.371704	228.371704	228.371704
HMGA1	Pituitary gland	24.62495	24.62495	24.62495
LMOD1	Pituitary gland	2.595402	2.595402	2.595402
MAF1	Pituitary gland	112.687042	112.687042	112.687042
MAFA	Pituitary gland	53.201206	53.201206	53.201206
MAFB	Pituitary gland	9.422832	9.422832	9.422832
MAP1LC3B	Pituitary gland	135.427353	135.427353	135.427353
MBD2	Pituitary gland	317.938965	317.938965	317.938965
MED18	Pituitary gland	21.501787	21.501787	21.501787
METTL21A	Pituitary gland	15.504624	15.504624	15.504624
MGP	Pituitary gland	28.872576	28.872576	28.872576
MIR1466	Pituitary gland	0	0	0
MIR1755	Pituitary gland	0	0	0
MIR3533	Pituitary gland	201.929537	201.929537	201.929537
MIRLET7B	Pituitary gland	3.66959	3.66959	3.66959
MPEG1	Pituitary gland	11.715415	11.715415	11.715415
MRP63	Pituitary gland	23.931873	23.931873	23.931873
MRPL34	Pituitary gland	55.590221	55.590221	55.590221
MRPL36	Pituitary gland	3.825808	3.825808	3.825808
MRPL54	Pituitary gland	13.157768	13.157768	13.157768
MRPL9	Pituitary gland	19.785727	19.785727	19.785727
MRPS14	Pituitary gland	64.258423	64.258423	64.258423
MURC	Pituitary gland	194.636841	194.636841	194.636841
MUSTN1	Pituitary gland	538.421631	538.421631	538.421631
MYADML2	Pituitary gland	4.2274	4.2274	4.2274
MYBPC2	Pituitary gland	1092.841919	1092.841919	1092.841919
MYOD1	Pituitary gland	96.972145	96.972145	96.972145
MYOZ3	Pituitary gland	242.498138	242.498138	242.498138
PFKM	Pituitary gland	3144.2771	3144.2771	3144.2771
PGM1	Pituitary gland	2065.647705	2065.647705	2065.647705
PKM2	Pituitary gland	6701.270996	6701.270996	6701.270996
POMP	Pituitary gland	32.16194	32.16194	32.16194
PPM1A	Pituitary gland	13.556552	13.556552	13.556552
PTMA	Pituitary gland	14.283058	14.283058	14.283058
PTMS	Pituitary gland	64.277031	64.277031	64.277031
RBM38	Pituitary gland	683.739441	683.739441	683.739441
SMG6	Pituitary gland	10.700544	10.700544	10.700544
SMIM12	Pituitary gland	27.908283	27.908283	27.908283
TICAM1	Pituitary gland	6.448191	6.448191	6.448191
TIMP2	Pituitary gland	37.588551	37.588551	37.588551
TMOD4	Pituitary gland	229.877289	229.877289	229.877289
TRIM32	Pituitary gland	1.741116	1.741116	1.741116
USMG5	Pituitary gland	27.650694	27.650694	27.650694
