GENE	CHROM	GGA_UD_1014
B2M	chr10:88745818-830167	203.241669
CALM1	chr5:4170955-43143958	126.631065
CALM	chr3:5031460-26495657	99.23156
CHAMP1	chr1:800693-136250792	49.749489
CHMP2A	chrUn:4625272-27117312	24.474346
CKMT2	chrZ:1788999-63596691	337.676605
CKM	chr5_random:177847457-7794	3020.815918
FAM100A	chr14:12405720-12404682	45.378033
FAM103A1	chr10:19853476-10675907	18.60866
FAM174A	chrZ:4023377-50645665	16.581516
FAM195B	chr18:21342028-10190237	39.222054
FAM46C	chr1:1079352-78606692	41.670547
FEM1A	chr28:26764671-4634677	44.620285
GIMAP1	chr2:148240663-452736	2.458315
HEXIM1	chr27:71371979-1370287	228.371704
HMGA1	chrUn:5523299-24059498	24.62495
LMOD1	chr26:76658752-1113791	2.595402
MAF1	chrUn:13369273-12168934	112.687042
MAFA	chr2:450580-148242801	53.201206
MAFB	chr20:25866853-5038256	9.422832
MAP1LC3B	chr11_random:175045530-51813	135.427353
MBD2	chrUn:10188424-21342191	317.938965
MED18	chrZ:7076871-23846058	21.501787
METTL21A	chr7:15091729-11681724	15.504624
MGP	chr1:4169150-47891373	28.872576
MIR1466	chr24:47886140-4171064	0
MIR1755	chr9:11679937-15091819	0
MIR3533	chr14:43135797-4172343	201.929537
MIRLET7B	chr1:1369466-71372063	3.66959
MPEG1	chr5:11578793-16211784	11.715415
MRP63	chr1:7507-177848669	23.931873
MRPL34	chrUn:4391694-34768903	55.590221
MRPL36	chr2:983598-86002225	3.825808
MRPL54	chr28:85998068-984565	13.157768
MRPL9	chrUn:10672687-19854482	19.785727
MRPS14	chr8:23844423-7079263	64.258423
MURC	chr2:827719-88759826	194.636841
MUSTN1	chr12:136240632-803957	538.421631
MYADML2	chr18:26488298-5035222	4.2274
MYBPC2	chrUn:50632357-4024506	1092.841919
MYOD1	chr5:16208843-11581919	96.972145
MYOZ3	chr13:12402515-12411622	242.498138
PFKM	chrUn:5035664-25873037	3144.2771
PGM1	chr8:4630528-26783622	2065.647705
PKM2	chr10:78602130-1096642	6701.270996
POMP	chr1:45004-175053370	32.16194
PPM1A	chr5:3312319-54441778	13.556552
PTMA	chr9:11959617-14808705	14.283058
PTMS	chr1:1105384-76661573	64.277031
RBM38	chr20:14804846-11971973	683.739441
SMG6	chr19:24059290-5525766	10.700544
SMIM12	chr23:34767609-4392833	27.908283
TICAM1	chr28:27115978-4627738	6.448191
TIMP2	chr18:23144647-10047611	37.588551
TMOD4	chr25:63575012-1792507	229.877289
TRIM32	chr17:54422231-3318409	1.741116
USMG5	chr6:10040657-23148454	27.650694
