GENE	CHROM	GGA_UD_1004	GGA_UD_1014
ACMSD	chr7:29940622-8958208	0	0
ALMS1	chr4:89119738-3431867	0.642504	0
BMS1	chr6:4550223-78390733	2.48083	0
BRMS1L	chr5:35631371-8206881	0	0
CAMSAP1	chr17:8178950-35650266	2.54369	0
CAMSAP2	chr8:1364104-106314892	5.0884	0
CASC3,MSL1	chr27:4367379-81637973	134.766	0
LIMS1	chr1:135618570-166243	0	0
LIMS2	chr9:882043-118466273	3.41213	0
MMS19	chr6:21875158-9297384	1.69894	0
MMS22L	chr3:71847892-5673319	0	0
MS4A15	chr5:476483-123420748	0	0
MSANTD4	chr1:180373541-160511	6.07732	0
MSC	chr2:116915833-989488	3.58736	0
MSGN1	chr3:99887826-2483496	0	0
MSH2	chr3:8542291-34192909	1.66049	0
MSH3	chrZ:63759684-5993767	4.09454	0
MSH4	chr8:28703679-8975114	0	0
MSH6	chr3:8657388-34029987	15.6721	0
MSI1	chr15:9340311-21263697	0	0
MSI2	chr19:8770136-29960455	7.60464	0
MSL2	chr9:145979-135632023	4.76062	0
MSL3	chr1:123395814-478690	8.48039	0
MSLNL	chr14:5987390-63877027	0	0
MSLN	chr14:5993855-40187772	0	0
MSMO1	chr4:23326894-9133494	6.29203	0
MSMP	chrZ:8970444-28728081	0	0
MSN	chr4:126218-180387700	0	0
MSRA	chr3:106054045-1424919	15.8048	0
MSRB1	chr14:6111272-37455185	3.92941	0
MSRB3	chr1:33949839-8668268	26.3921	0
MSS51	chr14:13069503-13072193	3.4271	0
MST1R	chr12:2579824-97480511	0	0
MST1	chr12:2479524-99889127	7.44616	0
MST4	chr4:3404467-89171564	8.79756	0
MSTN	chr7:195700-132497915	10.41	0
MSTO1	chr25:1432472-101612822	3.1781	0
MSX1	chr4:78388244-4570792	0	0
MSX2	chr13:9128896-23333145	0	0
NMS	chr1:132491622-201192	0	0
PMS1	chr7:236325-129695842	0	0
PMS2	chr14:977534-116918074	0	0
PTMS	chr1:76658570-76661573	32.432	64.277031
RBMS1	chr7:21202458-9365496	8.92823	0
RBMS3	chr2:39592891-6016169	0	0
RBPMS2	chr10:598486-122807976	2.77951	0
RBPMS	chr4:34187718-8569967	3.60293	0
RIMS1	chr3:81338543-4379454	0	0
RIMS2	chr2:129309022-274678	0	0
RIMS3	chr23:4848888-76661573	0	0
RIMS4	chr20:5622784-71934801	1.25921	0
SAMSN1	chr1:97445927-2587042	0	0
SGMS1	chr6:9220394-21885839	1.60285	0
SGMS2	chr4:37429620-6113607	3.4968	0
SMS	chr1:118437967-907414	4.60005	0
SRMS	chr20:9374360-13683969	0	0
TMSB10	chr13:13675911-9381333	0	0
TMSB4X	chr1:122807428-620033	140.275	0
TYMS	chr2:101603483-1435988	3.15597	0
